Treatment,mean_t,forecast_t,lit_forecast_t,se_lit_forecast_t,lit_citewt_forecast_t,se_lit_citewt_forecast_t,se_forecast_t
paylittle,1883,1657,1480.06744,38.85985341,1211.301113,118.2159293,18.16643143
charitylow,1907,1894,1980.420281,32.26787019,2045.579239,45.85061285,14.02004746
charityhigh,1918,1997,2021.057074,30.40639526,2018.985959,41.49669917,13.64215795
gift,1602,1709,1644.611067,29.07185747,2100.591415,172.3222955,14.36118808
pweight,1896,1967,1969.273098,27.99393149,2101.704147,65.49304512,17.57220884
cialdini,1848,1877,1534.091213,3.933831337,1608.397242,24.6892057,14.52482464
rank,1761,1850,1497.940547,37.32723726,1688.26653,67.00208589,16.24439525
task,1740,1757,1652.795628,32.90142428,2079.927534,123.5511902,15.95803127
