"expertAltruism","expertWarmGlow","expertBeta","expertDelta","expertLambda","curv1","curv88","curv44"
0.0245954678223619,0.0222047692300712,0.620595993753979,1,3,14.166183792062,17.8009694398111,41.1376985047008
6.44078435313127e-05,0.000149498981824994,0.715643955867356,0.3551608325871,.,0.0186663442387998,0.0465636223606278,0.902622224709461
0,5.0018118936554,5.0018118936554,1,.,5.558415808597,7.73252068155782,24.7256720549578
2.08359760197492,1.04242112359267,1.03851037822301,0.567301030822649,.,2.18036023640239,3.35713610565211,14.8116860674922
0,0.620595993753979,0.620595993753979,1,.,14.166183792062,17.8009694398111,41.1376985047008
9.80776617631309,19.6148123288637,0.0281316921796189,1.8881467461939,2.89473684210526,3.87443949465572,5.60525031075507,20.3013413765652
1.00180044476527,-0.0180044476531616,0.983795997112107,1,2.06194690265487,306.221856041988,275.310343680182,216.871396677262
8.66140812697048e-05,0.000548304790437874,0.921857914411731,0.944022092715021,2.25,1.45972402579418,2.34714944245869,11.8729506218909
0.0631515077865217,0.471283585233393,0.663129013832856,0.975444909637503,5.35294117647059,2.66462259671698,4.01463710863936,16.536978096375
2.58845257536798,8.20213706203447,1.00562074443148,0.805329847600654,7.17910447761194,4.25449211929084,6.09289972942713,21.3671287979708
0.148984030453135,0.481978432938387,0.128169038120541,0.916096034821655,.,0.00296381905886092,0.0083494713748285,0.233059309039641
1.56373815355192,0.345948278805905,1.66578796421068,0.499704983283369,.,3.82299038868258,5.53884483265291,20.1534243577236
0.00139143306654011,0.00751572064906875,0.0017835627392317,0.617137719542923,2.7,11.1373436599192,14.366116201002,36.0984774023754
3.7534666336912e-05,9.49925340395014e-05,0.0215521085014863,0.324417924334131,10,-0.001182078650496,-0.00375709658384086,-0.155440553507707
0.00014121287325084,0.000438488896298346,0.744924192682578,0.920334541871968,2.6,0.0139030259717239,0.0355211717992668,0.739442009560322
0.203416474836067,0.764430271848054,1.48281737635206,0.827945764943051,6.02702702702703,0.0575102473425393,0.129534754316344,1.85040341735139
0.253100034446774,1.42650607555871,0.57142760304314,0.943224612262932,2.81818181818182,14.5499196530803,18.2300628009773,41.7390025107345
0.254915030121253,0.941312927454664,0.144255705394584,0.211252906135303,6.33333333333333,0.0194971032512775,0.0484586558176364,0.929190072002201
0.0848383170262455,1.3218242692787,0.632006370377063,0.889434759146501,2,2.26960728728643,3.47941416713445,15.1419992480041
0.0675394893860523,-0.023193361979897,3.07600274011752,0.438135504605133,2.41592920353982,4.42857405387528,6.31465892616743,21.8405993583809
0.176791155644701,0.267997986560168,3.93539101268963,0.495917406980658,1.04790419161677,0.520647514978019,0.935094171156924,6.6858796611264
0.967678355881262,-0.9605924253726,1.19812714874183,0.891457942596043,.,0.534793813707303,0.957761393636094,6.78742049789985
0.0146543955702015,0.648425037725131,6.23124149992167,0.0982104069715461,0.701492537313433,0.0696793671817715,0.154036374545234,2.07997931998997
0.00252268034701564,0.0045632501616465,0.834285917460575,0.434699452354826,3.33057851239669,0.039046531486599,0.0912392838129512,1.4551882277169
0.0672019635629583,0.0481426939734253,0.277427471662486,1,3.54054054054054,0.0344357349100303,0.0814043090889014,1.34416780189529
0,2.75462463950193,1.03326319176818,0.9757690667443,.,1.56069617855094,2.49145702087691,12.3197337473084
0.922234385577443,-0.897414958673762,1.00081557616328,0.921020053276495,.,0.116866147887481,0.245338856218239,2.83344408349348
0.467631340345188,2.03690550800068,1.00752267079284,0.778355478275604,.,15.9767101242701,19.8149678116119,43.9130919293902
0.0120023358084931,0.588353887346365,0.983795997112107,1,3.06666666666667,0.00222891002104071,0.00635631883868687,0.18417438526865
1.2643783579974,-0.643782364243423,0.682138891623136,0.407637237052458,3,7.97400060223532,10.6663210739561,30.0995252806913
0.197218141967533,0.232920071552111,0.983795997112107,1,2.58730158730159,1.69111371161629,2.6763571604672,12.8775468452845
0.00116900315930935,0.0227574692622242,0.426363427501729,0.773080965558931,1.49056603773585,0.045489519236351,0.104782837090949,1.60102398115491
2.54887741332363,4.81412667548134,1.03659131884284,0.847367591854582,4.5,6.79238545522568,9.24553400466825,27.581792534385
0.345497078378044,-0.328952058212847,0.769232906168339,1,5,14.166183792062,17.8009694398111,41.1376985047008
0.0548450963691073,0.0323062160319363,0.00833342220272772,0.7903893345731,2.04761904761905,0.116866147887481,0.245338856218239,2.83344408349348
0.0167201022933963,0.051339944308589,0.733708027811743,0.875026466333571,0.461538461538462,0.0725966299041997,0.159839461791579,2.13225822355984
0.512313042587795,6.51852208691406,2.06885201487879,0.976267386307176,4.37037037037037,4.54856660368918,6.46696043660196,22.1619767959311
0.003349181845983,0.157046901909059,0.853793065522005,0.804445363424663,.,0.0418580757478157,0.0971760746893895,1.52004707568125
0.00383749995247941,0.0175925513619904,0.0077966264495266,0.596425406907405,2.53846153846154,0.130236764126068,0.2704103785479,3.02008383243136
0.00335207489706889,0.0567500192760372,0.20455572739123,0.576819985276263,.,0.157366837256345,0.320463886244595,3.37372823836587
0.63114892140293,-0.000186458011407487,1.14961216159898,0.759463845661251,4.41666666666667,15.1450989174347,18.893168154482,42.6573528732021
0.432401772858835,0.375746451701969,1.22606733489142,0.633278766416932,1.60606060606061,35.6208114763729,40.4850968295401,67.8144909103663
0.422737357319256,2.80346155630929,0.983795997112107,1,.,-0.00155054627540051,-0.0051155558045082,-0.246678486937316
0.000412069906519413,8.09140665181185e-05,-5.2376655712901e-05,1.06469003740624,4.70149253731343,3.21311447486453,4.74381491894774,18.3243652741949
