authors,myestimates,startguesses
0.38,0.37930223316996636,0.3014846519539009
0.36,0.35736108468993827,0.2511547210447667
0.38,0.38037280552412456,0.29922245016311955
0.3,0.29904015206582973,0.21717490228085748
0.14,0.16778581630926917,0.004492553703906665
0.16,0.17569537132600502,0.04533388692510487
-22.6,-22.747132024118173,-9.360330527549053
-27.7,-31.095300188839182,-30.746081013129988
26.9,26.499842355854437,11.023558810237056
24.7,28.458672383753235,22.432469285334633
1.6,1.3345142783737276,9.661420391908383
1.2,1.0853060685784262,4.8659703476744465
42.7,46.552575030663974,39.85595091579579
23.9,20.317951270342196,3.9503265502223606
-3.9,-4.295494458269068,-2.735713230557657
-11.3,-11.921589976134266,-28.58891195146785
9.5,9.882681671852945,23.13635472010865
7.6,6.803311573065147,12.939525084513388
64.1,20.856383146220022,-0.8513888749124661
318.7,137.93098658887683,163.17380782895225
