,beta1,betahat1,delta1,gamma1,phi1,sigma1,beta2,betahat2,delta2,gamma2,phi2,sigma2,beta3,betahat3,delta3,gamma3,phi3,sigma3,beta4,betahat4,delta4,gamma4,phi4,alpha4,sigma4
33,1.172314783174747,0.8724710992707994,1.000817118445137,1.5699233509119281,64.52458087990715,23.841567122589353,0.8929413439378291,0.8872422894585665,1.0082106295027486,1.5424456957722743,45.531978989851055,18.956908560253165,1.1943641897441997,0.871983615555596,1.007689720344911,1.5364435503003189,52.52985384150772,22.832108535304776,1.172314783174747,0.8717396464541343,1.0011780375268926,1.617047396844765,83.7763648174852,8.982732296665802,24.272249472311763
34,0.9575399884499727,0.9740331341214004,0.9996965198018735,1.589182991840059,88.39386876085166,15.199157331514185,0.9299477259704567,0.9362414379703029,0.9987839704478076,1.7331933906083825,177.44429561707858,11.542971230772835,1.0152202804853379,0.9964949362215867,1.0008696438365288,1.4924984845388027,54.98093184124845,17.788579243983456,0.9575399884499727,0.996492761300475,1.0011320868133449,1.6272922392358902,103.9727047413077,6.645294084629227,15.200913173240226
35,1.252354331717791,1.099959940887941,1.0085212213694188,3.6125230702962936,305579.7867586239,9.106274127960209,1.2047441615024097,1.2813246000353198,1.0249637368575937,4.062286874588269,1208045.421024568,8.710865497589113,1.1908360397185926,1.040865728449346,0.9954739248479905,3.276419919267897,92740.71016706311,8.294804096222075,1.252354331717791,1.1054414042284804,1.009289448859031,3.7202561744198226,507745.9537007855,2.527655685067569,9.03156276694396
36,0.9098589317512701,0.9949884414788228,1.0134072305616977,1.9059732161966432,126.70344372263315,14.628027512876503,1.0084020867575765,1.1206409454306607,1.0096881189767568,2.001715998046472,205.71014202188826,17.05200298385194,0.8499371340826811,0.8622544116691976,1.0060725599054026,1.7658511824096295,85.02638225091489,7.92044578508081,0.9098589317512701,0.996786549772581,1.0132548370727172,1.9746824558710423,186.2242144016293,8.023341070801088,14.365588512617077
37,0.9390882213260354,1.0174556070258276,1.0089848032452962,1.7351068088233703,52.35068725918184,5.875922072719875,0.9956351914198998,1.011810696577851,1.005414274638596,1.5990257000861186,34.87001106960943,6.630121746201466,0.9008131276378005,0.9996990499312384,1.0082311966534383,2.057480515466943,164.28929687134513,3.2771366847497405,0.9390882213260354,1.006710352033721,1.0081945903431517,1.8331529408526894,83.61112099226705,4.855802671483914,5.674589451991663
38,0.9883957861332177,1.0058029750334707,0.9999568197620406,1.2154439888131303,7.967953156145546,4.2313951029193735,0.9784019626581981,0.993575109866005,0.9998585709435027,1.21191445815789,7.940584163511067,3.525604481134393,1.1824749175896438,1.2699267418913949,0.06982028452291236,2.1917673742929242,274.0749565587772,33.206888198852695,0.9883957861332177,1.0124651284686426,0.9999184610083554,1.1748304937874958,6.990131489922746,10.262518942130836,19.882427369220757
39,0.9764009814714376,1.2733215870259986,1.0113477605126429,1.002106835238565,10.17905580188841,100.14908237369086,2.3290212819726506,1.259554700781922,1.000061092544803,1.0001586137995986,14.26324028907381,123.8736990648097,0.5909733522998722,1.0839746568748216,1.0510218720145847,1.0219951050009104,10.11151343592931,1596.9384336894573,0.9764009814714376,1.0006377189888889,1.0000219976285247,1.0000000885132563,14.272525491013404,8.448724747554147,64.55286970844534
40,0.500635339598916,0.822948945161488,1.0270148203076839,1.8341622592803768,80.60553800127796,16.428069540503188,0.617906931089361,0.7643959605453341,1.0230092999139515,1.8277146904963466,90.94482305340634,18.78080497496706,0.44026132697630227,1.0202664399515409,1.027931146895877,1.7994718835719916,64.84405961290608,11.920530888167082,0.500635339598916,0.8231350600305996,1.0289282557140331,1.9431479861349152,134.67520271435308,7.598985120133537,16.44974113468418
41,0.19356813116510152,1.2344496711168178,1.053078240840343,2.9648722937973906,75118.22786822506,46.220388412475714,6.022392128793469e-07,12.872337215902803,1.748475204735763,2.613509550000644,42.22834404074696,14.63442983028843,0.7674506233992937,1.266414911527888,1.0128248033397935,2.029147294397122,795.272139210826,17.162944000467377,0.19356813116510152,1.2413589356697439,1.0664785443972926,3.0914422312292467,136998.35153438715,22.992173252088982,44.91188595731414
42,0.31904394849398476,6.495662479588047,1.566041276978466,9.67147167467196,102865561.93882285,10.302928447723389,0.2830342167663561,51.58764989099278,1.9446793707431702,8.315313691995243,140.8910283173223,9.082283580202018,14.981801915952964,1.4401175871768845,0.9260396217530786,8.152903411067285,5937324958.589849,6.731938600540163,0.31904394849398476,9.512269497129537,1.554187713358215,8.012810691892696,119172.59091728134,-4.5721578900055135,10.170453247994399
43,0.7676579722807084,0.9874730455842862,1.0305590616597733,2.4082257473277267,1415.132239764236,10.860284580606951,0.6602654959878724,1.1788892010716707,1.0441548597615031,2.352063423850728,755.3381697091754,11.0815484344523,0.8199141436611306,0.9312021660692928,1.0098071170140512,2.30950715377551,1379.8243942510553,7.885782967407477,0.7676579722807084,0.9740155470640277,1.031073909416326,2.4576968802303254,1834.6304895130156,2.834814670334943,10.808236035731479
44,0.812058200274713,1.0059941800540835,1.0029124388550195,2.1495046465948757,697.2179106365284,8.012527996056413,0.8602464252808931,1.0071319481351049,1.001685871519506,2.198206994945677,872.4298392137443,5.482895714692685,0.7737970093151638,0.9746282289763175,1.0117389812892328,2.0745280219074225,469.1739113561903,9.203807368624211,0.812058200274713,1.0091840700122858,1.0029274165724595,2.1399496689859356,662.1525968964041,-0.7733181634295153,8.008908053155409
45,1.1574405766560316,0.8755197702833204,0.9947505581412539,16.72891111981116,2.9539676514914823e+29,3.5748238768037677,0.9110151503096673,1.019135444535741,1.0055918469209502,16.8354113820959,3.1652835802771586e+29,3.440902363043726,1.6259874506771648,0.752050838547457,0.9902467209813,16.75675844084276,3.5787542855658305e+29,3.329985938911454,1.1574405766560316,0.7779724664023928,0.9922371360023107,11.698609414863856,1.7315695166847255e+20,-3.105960792435874,4.835939578391164
46,0.4643857488587808,0.9101462396969641,0.9801897659681698,1.3414090582970286,68.47180905407885,236.1680382711681,1.4628656577632593,0.8202967301213311,0.9804485462320094,1.3365561883045562,50.75102058317812,67.99152417223124,0.42866163063285,2.031378332982002,0.9435686792673508,1.0000002680460942,15.744092756700063,13309.311405068853,0.4643857488587808,0.9321704895159237,0.9818832309446383,1.5121669740576125,232.52108885198444,291.9201843962478,240.13996281209623
